	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
402	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.2	3	221	False	3	218	0.0136	6732	33268	0.1683
403	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.30000000000000004	11	203	False	11	192	0.0542	8353	31647	0.2088
404	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.4	10	194	False	10	184	0.0515	8506	31494	0.2127
405	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.5	8	201	False	8	193	0.0398	8330	31670	0.2082
406	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.6000000000000001	7	190	False	7	183	0.0368	8049	31951	0.2012
407	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.7000000000000001	5	189	False	5	184	0.0265	7658	32342	0.1915
408	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.8	4	199	False	4	195	0.0201	7243	32757	0.1811
409	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	0.9	1	188	False	1	187	0.0053	6772	33228	0.1693
410	bandpassLPHP	    -    	    -    	    -    	0.30000000000000004	1.0	1	206	False	1	205	0.0049	6378	33622	0.1595
411	bandpassLPHP	    -    	    -    	    -    	0.4	0.1	3	223	False	3	220	0.0135	6547	33453	0.1637
412	bandpassLPHP	    -    	    -    	    -    	0.4	0.2	3	224	False	3	221	0.0134	6512	33488	0.1628
413	bandpassLPHP	    -    	    -    	    -    	0.4	0.30000000000000004	3	203	False	3	200	0.0148	7903	32097	0.1976
414	bandpassLPHP	    -    	    -    	    -    	0.4	0.4	13	208	False	13	195	0.0625	8679	31321	0.217
415	bandpassLPHP	    -    	    -    	    -    	0.4	0.5	8	199	False	8	191	0.0402	8397	31603	0.2099
416	bandpassLPHP	    -    	    -    	    -    	0.4	0.6000000000000001	7	202	False	7	195	0.0347	8313	31687	0.2078
417	bandpassLPHP	    -    	    -    	    -    	0.4	0.7000000000000001	7	190	False	7	183	0.0368	8049	31951	0.2012
418	bandpassLPHP	    -    	    -    	    -    	0.4	0.8	4	187	False	4	183	0.0214	7670	32330	0.1918
419	bandpassLPHP	    -    	    -    	    -    	0.4	0.9	3	188	False	3	185	0.016	7312	32688	0.1828
420	bandpassLPHP	    -    	    -    	    -    	0.4	1.0	2	211	False	2	209	0.0095	7067	32933	0.1767
421	bandpassLPHP	    -    	    -    	    -    	0.5	0.1	1	217	False	1	216	0.0046	6921	33079	0.173
422	bandpassLPHP	    -    	    -    	    -    	0.5	0.2	3	225	False	3	222	0.0133	6528	33472	0.1632
423	bandpassLPHP	    -    	    -    	    -    	0.5	0.30000000000000004	3	212	False	3	209	0.0142	7281	32719	0.182
424	bandpassLPHP	    -    	    -    	    -    	0.5	0.4	5	201	False	5	196	0.0249	8572	31428	0.2143
425	bandpassLPHP	    -    	    -    	    -    	0.5	0.5	11	205	False	11	194	0.0537	8691	31309	0.2173
426	bandpassLPHP	    -    	    -    	    -    	0.5	0.6000000000000001	8	199	False	8	191	0.0402	8397	31603	0.2099
427	bandpassLPHP	    -    	    -    	    -    	0.5	0.7000000000000001	8	201	False	8	193	0.0398	8330	31670	0.2082
428	bandpassLPHP	    -    	    -    	    -    	0.5	0.8	7	189	False	7	182	0.037	7995	32005	0.1999
429	bandpassLPHP	    -    	    -    	    -    	0.5	0.9	6	187	False	6	181	0.0321	7740	32260	0.1935
430	bandpassLPHP	    -    	    -    	    -    	0.5	1.0	2	201	False	2	199	0.01	7644	32356	0.1911
431	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.1	2	220	False	2	218	0.0091	7048	32952	0.1762
432	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.2	2	228	False	2	226	0.0088	6652	33348	0.1663
