,m (length of),alpha,n (block size),tau (decision threshold),No_mism (expected number of mismatches),L  (expected length of final key),expected number of mismatches (%)
268,50,0.2,20,8,0,49.506,0
269,50,0.2,20,9,0,49.8984,0
270,50,0.25,3,1,1.4,50,2.8
271,50,0.25,4,1,0.185,39.4531,0.46891
272,50,0.25,5,1,0.023,32.4219,0.07094
273,50,0.25,5,2,0.428,50,0.856
274,50,0.25,6,1,0.0028,26.9287,0.0104
275,50,0.25,6,2,0.0635,43.4082,0.14629
276,50,0.25,7,1,0.0003,22.3145,0.00134
277,50,0.25,7,2,0.0088,38.4644,0.02288
278,50,0.25,7,3,0.1364,50,0.2728
279,50,0.25,8,1,0,18.3731,0
280,50,0.25,8,2,0.0012,34.1385,0.00352
281,50,0.25,8,3,0.0216,45.6741,0.04729
282,50,0.25,9,1,0,15.0223,0
283,50,0.25,9,2,0.0001,30.101,0.00033
284,50,0.25,9,3,0.0032,42.2134,0.00758
285,50,0.25,9,4,0.0445,50,0.089
286,50,0.25,10,1,0,12.2027,0
287,50,0.25,10,2,0,26.3004,0
288,50,0.25,10,3,0.0005,38.969,0.00128
289,50,0.25,10,4,0.0073,47.08,0.01551
290,50,0.25,11,1,0,9.8553,0
291,50,0.25,11,2,0,22.7664,0
292,50,0.25,11,3,0.0001,35.7246,0.00028
293,50,0.25,11,4,0.0011,44.6467,0.00246
294,50,0.25,11,5,0.0148,50,0.0296
295,50,0.25,12,1,0,7.9192,0
296,50,0.25,12,2,0,19.5356,0
297,50,0.25,12,3,0,32.4585,0
298,50,0.25,12,4,0.0002,42.2569,0.00047
299,50,0.25,12,5,0.0025,47.9925,0.00521
300,50,0.25,13,1,0,6.3353,0
301,50,0.25,13,2,0,16.6306,0
302,50,0.25,13,3,0,29.2189,0
303,50,0.25,13,4,0,39.7476,0
304,50,0.25,13,5,0.0004,46.2718,0.00086
305,50,0.25,13,6,0.005,50,0.01
306,50,0.25,14,1,0,5.0484,0
307,50,0.25,14,2,0,14.0565,0
308,50,0.25,14,3,0,26.069,0
309,50,0.25,14,4,0,37.0938,0
310,50,0.25,14,5,0.0001,44.5243,0.00022
311,50,0.25,14,6,0.0009,48.6019,0.00185
312,50,0.25,15,1,0,4.009,0
313,50,0.25,15,2,0,11.8044,0
314,50,0.25,15,3,0,23.065,0
315,50,0.25,15,4,0,34.3301,0
316,50,0.25,15,5,0,42.6213,0
317,50,0.25,15,6,0.0001,47.3786,0.00021
318,50,0.25,15,7,0.0017,50,0.0034
319,50,0.25,16,1,0,3.1738,0
320,50,0.25,16,2,0,9.8556,0
321,50,0.25,16,3,0,20.2495,0
322,50,0.25,16,4,0,31.5112,0
323,50,0.25,16,5,0,40.5315,0
324,50,0.25,16,6,0,46.1044,0
325,50,0.25,16,7,0.0003,49.017,0.00061
326,50,0.25,17,1,0,2.5056,0
